"Variável";"Localidade";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Percentual da População Atendida com Água (%)";"Guaraíta";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Guarani de Goiás";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Guarinos";"[1]";"[1]";"[1]";"[1]";" [1] ";"[1]";"[1]";"[1]";"100";"[1]";"0"
"Percentual da População Atendida com Água (%)";"Heitoraí";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Hidrolândia";"84,00";"84,0";"84,2";"84,30";"84,3";"84,3";"84,3";"84,4";"100";"84,53";"84,49"
"Percentual da População Atendida com Água (%)";"Hidrolina";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Iaciara";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Inaciolândia";"95,40";"98,3";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Indiara";"99,90";"99,9";"100,0";"99,90";"100";"0";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Inhumas";"99,40";"100,0";"100,0";"100,00";"100";"0";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Ipameri";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"[1]";"[1]"
"Percentual da População Atendida com Água (%)";"Ipiranga de Goiás";"99,20";"99,8";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Iporá";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Israelândia";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Itaberaí";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Itaguari";"100,00";"100,0";"100,0";"100,00";"100";"0";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Itaguaru";"100,00";"100,0";"100,0";"100,00";"100";"0";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Itajá";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Itapaci";"79,60";"80,6";"82,6";"95,20";"95,7";"96,6";"98,3";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Itapirapuã";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Itapuranga";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Itarumã";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Itauçu";"98,80";"98,7";"99,0";"99,40";"99,7";"99,7";"99,8";"99,9";"100";"99,95";"100"
"Percentual da População Atendida com Água (%)";"Itumbiara";"97,50";"98,5";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Ivolândia";"91,30";"94,1";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Jandaia";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Jaraguá";"95,50";"96,3";"94,4";"94,50";"94,6";"94,6";"94,6";"94,7";"100";"94,59";"94,57"
"Percentual da População Atendida com Água (%)";"Jataí";"99,40";"99,5";"99,5";"99,50";"99,5";"99,5";"99,5";"99,5";"100";"99,57";"100"
"Percentual da População Atendida com Água (%)";"Jaupaci";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Jesúpolis";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Joviânia";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Jussara";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Lagoa Santa";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Leopoldo de Bulhões";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"[1]";"[1]"
"Percentual da População Atendida com Água (%)";"Luziânia";"82,10";"87,6";"87,4";"89,60";"91,9";"94";"96,7";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Mairipotaba";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Mambaí";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Mara Rosa";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Marzagão";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Matrinchã";"[1]";"[1]";"[1]";"[1]";" [1] ";"[1]";"[1]";"[1]";"100";"[1]";"[1]"
"Percentual da População Atendida com Água (%)";"Maurilândia";"98,80";"97,5";"97,2";"96,50";"95,2";"92,9";"91,6";"90,7";"100";"87,37";"85,74"
